species_key,common_name,confidence,latitude,longitude,gps_accuracy,datetime,source
aguacate,Aguacate,0.4014,6.2062592,-75.6023296,,2026-05-31 02:14:10,gps
aguacate,Aguacate,0.4014,6.2062592,-75.6023296,,2026-05-31 02:14:10,gps
